"symbol";"company_name";"sector";"industry";"market_cap_category"
"RELIANCE";"Reliance Industries";"Energy";"Oil & Gas";"Large Cap"
"TCS";"Tata Consultancy Services";"IT";"Software";"Large Cap"
"INFY";"Infosys";"IT";"Software";"Large Cap"
"HDFCBANK";"HDFC Bank";"Banking";"Private Bank";"Large Cap"
"ICICIBANK";"ICICI Bank";"Banking";"Private Bank";"Large Cap"
"HINDUNILVR";"Hindustan Unilever";"FMCG";"Consumer Goods";"Large Cap"
"SBIN";"State Bank of India";"Banking";"Public Bank";"Large Cap"
"BAJFINANCE";"Bajaj Finance";"Finance";"NBFC";"Large Cap"
"AXISBANK";"Axis Bank";"Banking";"Private Bank";"Large Cap"
"KOTAKBANK";"Kotak Mahindra Bank";"Banking";"Private Bank";"Large Cap"
"APOLLOTYRE";"Apollo Tyres";"Automotive";"Tires";"Mid Cap"
"ASTRAL";"Astral Ltd";"Construction";"Plastic Pipes";"Mid Cap"
"BAJFINANCE";"Bajaj Finance";"Financial Services";"NBFC";"Mid Cap"
"BANDHANBNK";"Bandhan Bank";"Financial Services";"Private Bank";"Mid Cap"
"BERGEPAINT";"Berger Paints";"Consumer Discretionary";"Paints";"Mid Cap"
"BHEL";"Bharat Heavy Electricals";"Industrial";"Electrical Equipment";"Mid Cap"
"BOSCHLTD";"Bosch Ltd";"Automotive";"Automotive Components";"Mid Cap"
"COALINDIA";"Coal India";"Energy";"Mining";"Mid Cap"
"CUMMINSIND";"Cummins India";"Industrial";"Engines & Parts";"Mid Cap"
"DABUR";"Dabur India";"Consumer Staples";"FMCG";"Mid Cap"
"INDIGO";"InterGlobe Aviation";"Transportation";"Airlines";"Mid Cap"
"LUPIN";"Lupin";"Healthcare";"Pharmaceuticals";"Mid Cap"
"MARICO";"Marico";"Consumer Staples";"FMCG";"Mid Cap"
"MOTHERSUMI";"Motherson Sumi Wiring";"Automotive";"Automotive Components";"Mid Cap"
"NHPC";"NHPC Ltd";"Energy";"Power Generation";"Mid Cap"
"OFSS";"Oracle Financial Services Software";"Technology";"Software";"Mid Cap"
"REC";"REC Ltd";"Financial Services";"NBFC";"Mid Cap"
"UNIONBANK";"Union Bank of India";"Financial Services";"Public Sector Bank";"Mid Cap"
"ZEEL";"Zee Entertainment Enterprises";"Media";"Broadcasting & Entertainment";"Mid Cap"
"ADANIENT";"Adani Enterprises";"Industrial";"Diversified";"Mid Cap"
"ARVINDFASH";"Arvind Fashions";"Consumer Discretionary";"Apparel";"Small Cap"
"BALRAMCHIN";"Balrampur Chini Mills";"Consumer Staples";"Sugar";"Small Cap"
"CAMS";"Computer Age Management Services";"Financial Services";"Financial Technology";"Small Cap"
"CANFINHOME";"Can Fin Homes";"Financial Services";"Housing Finance";"Small Cap"
"COCHINSHIP";"Cochin Shipyard";"Industrial";"Shipbuilding";"Small Cap"
"CRISIL";"CRISIL Ltd";"Financial Services";"Rating Agency";"Small Cap"
"DIXON";"Dixon Technologies (India)";"Electronics";"Manufacturing";"Small Cap"
"EMAMILTD";"Emami Ltd";"Consumer Staples";"FMCG";"Small Cap"
"ENGINERSIN";"Engineers India";"Industrial";"Engineering & Construction";"Small Cap"
"FCONSUMER";"Future Consumer";"Consumer Staples";"FMCG";"Small Cap"
"GODREJAGRO";"Godrej Agrovet";"Consumer Staples";"Agriculture";"Small Cap"
"GULFOILLUB";"Gulf Oil Lubricants India";"Energy";"Lubricants";"Small Cap"
"IDFCFIRSTB";"IDFC First Bank";"Financial Services";"Private Bank";"Small Cap"
"INDIACEM";"India Cements";"Construction";"Cement";"Small Cap"
"KPRMILL";"K.P.R. Mill";"Textiles";"Textiles";"Small Cap"
"LAURUSLABS";"Laurus Labs";"Healthcare";"Pharmaceuticals";"Small Cap"
"MAHABANK";"Bank of Maharashtra";"Financial Services";"Public Sector Bank";"Small Cap"
"MANAPPURAM";"Manappuram Finance";"Financial Services";"NBFC";"Small Cap"
"NAVINFLUOR";"Navin Fluorine International";"Chemicals";"Specialty Chemicals";"Small Cap"
"PNBHOUSING";"PNB Housing Finance";"Financial Services";"Housing Finance";"Small Cap"
"SUZLON";"Suzlon Energy";"Energy";"Renewable Energy";"Small Cap"
"TATACOFFEE";"Tata Coffee";"Consumer Staples";"Beverages";"Small Cap"
"TRIDENT";"Trident Ltd";"Textiles";"Consumer Goods";"Small Cap"
"UCOBANK";"UCO Bank";"Financial Services";"Public Sector Bank";"Small Cap"
"VTL";"V-Trans (India) Ltd";"Transportation";"Logistics";"Small Cap"
"WAAREE";"Waaree Energies";"Energy";"Solar Equipment";"Small Cap"
"HBLPOWER";"HBL Power Systems";"Industrial";"Batteries";"Small Cap"
"ITP";"ITI Ltd";"Telecommunication";"Telecom Equipment";"Small Cap"
"KEI";"KEI Industries";"Industrial";"Electrical Cables";"Small Cap"
"JINDALSAW";"Jindal SAW";"Industrial";"Steel Pipes";"Small Cap"
"JUBLFOOD";"Jubilant FoodWorks";"Consumer Discretionary";"Restaurants";"Small Cap"
"KEC";"KEC International";"Industrial";"Engineering & Construction";"Small Cap"
"KIMS";"Krishna Institute of Medical Sciences";"Healthcare";"Hospitals";"Small Cap"
"LALPATHLAB";"Dr. Lal PathLabs";"Healthcare";"Diagnostics";"Small Cap"
"METROPOLIS";"Metropolis Healthcare";"Healthcare";"Diagnostics";"Small Cap"
"PERSISTENT";"Persistent Systems";"Technology";"IT Services";"Small Cap"
