"date";"index_name";"index_value";"turnover";"advances";"declines"
"2022-01-01";"NIFTY50";50851.96;26877.34;29;21
"2022-01-01";"SENSEX";59656.62;49629.94;14;36
"2022-01-02";"NIFTY50";32532.72;70352.21;31;19
"2022-01-02";"SENSEX";15123.13;69104.89;36;14
"2022-01-03";"NIFTY50";29052.46;24566.3;15;35
"2022-01-03";"SENSEX";25519.54;61116.84;23;27
"2022-01-04";"NIFTY50";31683.42;45542.01;21;29
"2022-01-04";"SENSEX";31262.64;30944.75;35;15
"2022-01-05";"NIFTY50";43378.35;74160.08;24;26
"2022-01-05";"SENSEX";32131.83;61173.45;20;30
"2022-01-06";"NIFTY50";36541.28;35214.03;20;30
"2022-01-06";"SENSEX";50265.02;27785.38;35;15
"2022-01-07";"NIFTY50";56240.14;64623.17;36;14
"2022-01-07";"SENSEX";18953.04;77256.19;11;39
"2022-01-08";"NIFTY50";33735.82;40295.41;32;18
"2022-01-08";"SENSEX";45437.03;49621.92;34;16
"2022-01-09";"NIFTY50";54446.05;64099.92;38;12
"2022-01-09";"SENSEX";25822.57;61362.17;28;22
"2022-01-10";"NIFTY50";24776.84;38418.53;35;15
"2022-01-10";"SENSEX";33171.82;26407.79;22;28
"2022-01-11";"NIFTY50";54524.01;29931.95;19;31
"2022-01-11";"SENSEX";41263.79;71380.47;10;40
"2022-01-12";"NIFTY50";29957.91;47627.5;16;34
"2022-01-12";"SENSEX";47908.49;45558.64;38;12
"2022-01-13";"NIFTY50";17123.84;44836.97;16;34
"2022-01-13";"SENSEX";51081.74;39552.58;17;33
"2022-01-14";"NIFTY50";20222.37;58146.39;34;16
"2022-01-14";"SENSEX";15532.26;43524.39;17;33
"2022-01-15";"NIFTY50";47284.66;42883.19;19;31
"2022-01-15";"SENSEX";53859.4;71065.98;27;23
"2020-01-10";"NIFTY50";15231.45;38211.55;24;26
"2020-01-10";"SENSEX";41245.78;49211.66;27;23
"2020-03-15";"NIFTY50";16822.34;36543.77;20;30
"2020-03-15";"SENSEX";38977.45;47832.12;25;25
"2020-06-20";"NIFTY50";17211.22;39211.34;28;22
"2020-06-20";"SENSEX";40211.55;50122.89;21;29
"2020-09-05";"NIFTY50";18122.89;40123.55;26;24
"2020-09-05";"SENSEX";41543.66;49567.77;29;21
"2020-12-18";"NIFTY50";19432.77;41877.22;32;18
"2020-12-18";"SENSEX";42987.34;50789.11;30;20
"2021-02-14";"NIFTY50";20567.89;42998.33;35;15
"2021-02-14";"SENSEX";44877.12;51987.22;28;22
"2021-04-22";"NIFTY50";21832.56;44211.44;29;21
"2021-04-22";"SENSEX";46231.89;53122.33;23;27
"2021-07-30";"NIFTY50";22678.12;45322.11;31;19
"2021-07-30";"SENSEX";47456.99;54321.66;19;31
"2021-10-10";"NIFTY50";23987.77;46987.22;27;23
"2021-10-10";"SENSEX";48721.55;55987.77;33;17
"2021-12-25";"NIFTY50";25122.43;48122.33;30;20
"2021-12-25";"SENSEX";49876.88;57111.22;22;28
"2022-01-12";"NIFTY50";26321.55;49211.99;28;22
"2022-01-12";"SENSEX";51123.66;58321.44;25;25
"2022-03-28";"NIFTY50";27234.12;50322.78;26;24
"2022-03-28";"SENSEX";52211.89;59456.77;29;21
"2022-06-05";"NIFTY50";28567.34;51678.22;19;31
"2022-06-05";"SENSEX";53987.45;61234.88;27;23
"2022-09-14";"NIFTY50";29876.88;52877.55;33;17
"2022-09-14";"SENSEX";55232.77;62432.66;21;29
"2022-12-31";"NIFTY50";31222.45;54211.33;30;20
"2022-12-31";"SENSEX";56678.99;63987.44;34;16
"2023-02-10";"NIFTY50";32567.89;55678.66;25;25
"2023-02-10";"SENSEX";58231.77;65432.55;20;30
"2023-04-16";"NIFTY50";33987.11;57122.77;28;22
"2023-04-16";"SENSEX";59677.22;66987.11;26;24
"2023-07-20";"NIFTY50";35211.33;58321.99;22;28
"2023-07-20";"SENSEX";60987.55;68234.77;29;21
"2023-09-25";"NIFTY50";36821.44;59876.55;34;16
"2023-09-25";"SENSEX";62543.66;69987.22;19;31
"2023-12-05";"NIFTY50";37987.22;61211.77;31;19
"2023-12-05";"SENSEX";63877.11;71567.33;28;22
"2024-01-18";"NIFTY50";39211.99;62321.44;27;23
"2024-01-18";"SENSEX";65232.33;72877.22;25;25
"2024-03-30";"NIFTY50";40543.77;63987.66;29;21
"2024-03-30";"SENSEX";66876.55;74532.88;20;30
"2024-06-12";"NIFTY50";41821.22;65211.55;32;18
"2024-06-12";"SENSEX";68122.44;75987.44;28;22
"2024-08-24";"NIFTY50";43122.11;66876.22;26;24
"2024-08-24";"SENSEX";69567.33;77321.11;23;27
"2024-11-15";"NIFTY50";44877.33;68543.99;30;20
"2024-11-15";"SENSEX";71232.88;78987.55;34;16
"2025-01-07";"NIFTY50";46234.77;69876.22;28;22
"2025-01-07";"SENSEX";72677.11;80232.77;25;25
"2025-03-19";"NIFTY50";47567.99;71543.66;33;17
"2025-03-19";"SENSEX";74123.88;81987.44;19;31
"2025-06-01";"NIFTY50";48987.55;72987.22;30;20
"2025-06-01";"SENSEX";75567.44;83432.88;27;23
"2025-08-10";"NIFTY50";50211.22;74211.44;31;19
"2025-08-10";"SENSEX";76987.11;84987.22;22;28
"2025-10-25";"NIFTY50";51877.44;75987.66;29;21
"2025-10-25";"SENSEX";78632.55;86543.33;26;24
