"date";"symbol";"open";"high";"low";"close";"volume"
"2022-01-01";"RELIANCE";616.97;692.41;601.24;652.44;1889759
"2022-01-01";"TCS";2517.45;2551.07;2482.51;2505.26;2754347
"2022-01-01";"INFY";1991.62;2030.39;1929.38;1998.18;4916100
"2022-01-01";"HDFCBANK";3227.01;3288.6;3151.19;3276.19;3997003
"2022-01-01";"ICICIBANK";2548.84;2574.79;2450.69;2542.5;2742420
"2022-01-01";"HINDUNILVR";3389.98;3423.11;3308.04;3394.51;4551227
"2022-01-01";"SBIN";1142.41;1157.17;1099.75;1132.88;1805502
"2022-01-01";"BAJFINANCE";3968.59;4049.8;3905.34;4025.74;4762642
"2022-01-01";"AXISBANK";3337.72;3430.0;3277.98;3287.54;516493
"2022-01-01";"KOTAKBANK";3609.29;3684.81;3565.97;3609.12;4342640
"2022-01-02";"RELIANCE";2015.95;2058.51;1964.4;1991.73;3077283
"2022-01-02";"TCS";751.95;816.65;666.28;711.28;208265
"2022-01-02";"INFY";2320.0;2340.62;2247.63;2288.97;2631339
"2022-01-02";"HDFCBANK";1509.52;1584.68;1483.22;1508.27;3531734
"2022-01-02";"ICICIBANK";1240.05;1267.56;1187.18;1226.81;4432814
"2022-01-02";"HINDUNILVR";1620.48;1717.21;1559.47;1673.29;2642394
"2022-01-02";"SBIN";3555.75;3575.66;3473.79;3509.81;392076
"2022-01-02";"BAJFINANCE";3232.06;3320.49;3134.7;3206.45;635959
"2022-01-02";"AXISBANK";3034.74;3115.05;2980.73;2987.02;3000731
"2022-01-02";"KOTAKBANK";2270.13;2362.65;2171.17;2194.6;4601690
"2022-01-03";"RELIANCE";1239.18;1250.04;1143.82;1203.54;2289797
"2022-01-03";"TCS";931.68;968.74;907.46;943.27;2302518
"2022-01-03";"INFY";3949.26;4000.91;3883.6;3921.34;4301041
"2022-01-03";"HDFCBANK";3722.74;3812.13;3707.48;3810.18;2273037
"2022-01-03";"ICICIBANK";3817.48;3862.8;3803.5;3836.95;1729191
